year,ac_no,constituency,constituency_kn,clean_constituency,slug,category,category_kn,winner,winner_kn,winner_party,winner_party_kn,winner_votes,vote_share,runner_up,runner_up_kn,runner_up_party,runner_up_party_kn,runner_up_votes,margin,color
2004,149,Baindur,Baindur,baindur,baindur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Gopala Poojary K,Gopala ಪೂಜಾರಿ ಕೆ.,INC,ಕಾಂಗ್ರೆಸ್ (INC),47627,47.1,Lakshminarayana K,Lakshminarayana ಕೆ.,BJP,ಬಿಜೆಪಿ (BJP),44375,3252,#1f77b4
2004,150,Karkala,ಕಾರ್ಕಳ,karkala,karkala_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Sunil Kumar,Sunil ಕುಮಾರ್,BJP,ಬಿಜೆಪಿ (BJP),52061,53.1,Gopala Bhandari H,Gopala Bhandari ಎಚ್.,INC,ಕಾಂಗ್ರೆಸ್ (INC),42266,9795,#ff7f0e
2004,151,Moodabidri,ಮೂಡಬಿದಿರೆ,moodabidri,moodabidri_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Abhayachandra K,Abhayachandra ಕೆ.,INC,ಕಾಂಗ್ರೆಸ್ (INC),29926,36.3,Amaranatha Shetty K,Amaranatha Shetty ಕೆ.,JD(S),ಜೆಡಿಎಸ್ (JD-S),26977,2949,#1f77b4
2004,152,Sringeri,ಶೃಂಗೇರಿ,sringeri,sringeri_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Jeevaraj Dl,Jeevaraj Dl,BJP,ಬಿಜೆಪಿ (BJP),47263,46.0,Chandre Gowda Db,Chandre ಗೌಡ Db,INC,ಕಾಂಗ್ರೆಸ್ (INC),29042,18221,#ff7f0e
2004,153,Mudigere,ಮೂಡಿಗೆರೆ,mudigere,mudigere_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Kumaraswamy Mp,Kumaraswamy Mp,BJP,ಬಿಜೆಪಿ (BJP),27148,31.5,Motamma,Motamma,INC,ಕಾಂಗ್ರೆಸ್ (INC),25810,1338,#ff7f0e
2004,154,Chikmagalur,ಚಿಕ್ಕಮಗಳೂರು,chikmagalur,chikmagalur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Ravi Ct,Ravi Ct,BJP,ಬಿಜೆಪಿ (BJP),57165,58.1,Sageer Ahmed Cr,Sageer Ahmed Cr,INC,ಕಾಂಗ್ರೆಸ್ (INC),32292,24873,#ff7f0e
2004,155,Birur,Birur,birur,birur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Dharme Gowda S L,Dharme ಗೌಡ ಎಸ್. ಎಲ್.,JD(S),ಜೆಡಿಎಸ್ (JD-S),33164,34.6,Mallikarjuna K B,Mallikarjuna ಕೆ. ಬಿ.,INC,ಕಾಂಗ್ರೆಸ್ (INC),32031,1133,#31a354
2004,156,Kadur,ಕಡೂರು,kadur,kadur_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Krishnamurthy Km,Krishnamurthy Km,JD(S),ಜೆಡಿಎಸ್ (JD-S),43433,43.0,Marulasiddappa M,Marulasiddappa ಎಂ.,INC,ಕಾಂಗ್ರೆಸ್ (INC),36144,7289,#31a354
2004,157,Tarikere,ತಾರೀಕೆರೆ,tarikere,tarikere_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Shivashankarappa T H,Shivashankarappa ಟಿ. ಎಚ್.,INC,ಕಾಂಗ್ರೆಸ್ (INC),47593,44.2,Omkarappa H,Omkarappa ಎಚ್.,BJP,ಬಿಜೆಪಿ (BJP),27919,19674,#1f77b4
2004,158,Channagiri,ಚನ್ನಗಿರಿ,channagiri,channagiri_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Mahima J Patel,Mahima ಜೆ. Patel,JD(S),ಜೆಡಿಎಸ್ (JD-S),42837,40.6,Vadnal Rajanna,Vadnal Rajanna,INC,ಕಾಂಗ್ರೆಸ್ (INC),32154,10683,#31a354
